인덱스번호,카페이름,url
168,낙양커피,"https://map.naver.com/p/search/건대입구 카페/place/1954892963?c=15.00,0,0,0,dh&placePath=/review"
169,브루크 성수점,"https://map.naver.com/p/search/건대입구 카페/place/1085945481?c=15.00,0,0,0,dh&placePath=/review"
170,파리바게뜨 건대동문회관점,"https://map.naver.com/p/search/건대입구 카페/place/19835365?c=15.00,0,0,0,dh&placePath=/review"
171,메가MGC커피 신양초사거리점카페,"https://map.naver.com/p/search/건대입구 카페/place/1000368716?c=15.00,0,0,0,dh&placePath=/review"
172,뚜레쥬르 구의역점,"https://map.naver.com/p/search/건대입구 카페/place/12993304?c=15.00,0,0,0,dh&placePath=/review"
173,나나케이크케이크전문,"https://map.naver.com/p/search/건대입구 카페/place/1993322646?c=15.00,0,0,0,dh&placePath=/review"
174,카페051 자양점,"https://map.naver.com/p/search/건대입구 카페/place/1069657550?c=15.00,0,0,0,dh&placePath=/review"
175,자양빵공장베이커리,"https://map.naver.com/p/search/건대입구 카페/place/1157593268?c=15.00,0,0,0,dh&placePath=/review"
176,"랭보카페,디저트","https://map.naver.com/p/search/건대입구 카페/place/1099800871?c=15.00,0,0,0,dh&placePath=/review"
177,"차일디쉬카페,디저트","https://map.naver.com/p/search/건대입구 카페/place/1217287130?c=15.00,0,0,0,dh&placePath=/review"
178,레스티오 동물생명대점카페,"https://map.naver.com/p/search/건대입구 카페/place/327837913?c=15.00,0,0,0,dh&placePath=/review"
179,바나프레소 건대점바나프레소,"https://map.naver.com/p/search/건대입구 카페/place/1154632186?c=15.00,0,0,0,dh&placePath=/review"
180,"카페 오로시카페,디저트","https://map.naver.com/p/search/건대입구 카페/place/37589831?c=15.00,0,0,0,dh&placePath=/review"
181,위클리베이글 어린이대공원역점베이글,"https://map.naver.com/p/search/건대입구 카페/place/1499840333?c=15.00,0,0,0,dh&placePath=/review"
182,오프로드커피테이크아웃커피,"https://map.naver.com/p/search/건대입구 카페/place/190852031?c=15.00,0,0,0,dh&placePath=/review"
183,"리틀히포 로스팅랩카페,디저트","https://map.naver.com/p/search/건대입구 카페/place/1091941368?c=15.00,0,0,0,dh&placePath=/review"
184,그릭판다,"https://map.naver.com/p/search/건대입구 카페/place/1449112575?c=15.00,0,0,0,dh&placePath=/review"
185,심리카페멘토 건대점,"https://map.naver.com/p/search/건대입구 카페/place/38427407?c=15.00,0,0,0,dh&placePath=/review"
186,"리브릭카페,디저트","https://map.naver.com/p/search/건대입구 카페/place/1424869222?c=15.00,0,0,0,dh&placePath=/review"
187,밀크컨셉 건대점아이스크림,"https://map.naver.com/p/search/건대입구 카페/place/1667080417?c=15.00,0,0,0,dh&placePath=/review"
188,나폴레옹과자점 롯데백화점 건대스타시티점베이커리,"https://map.naver.com/p/search/건대입구 카페/place/1596536599?c=15.00,0,0,0,dh&placePath=/review"
189,카페&바 정원들,"https://map.naver.com/p/search/건대입구 카페/place/1243827079?c=15.00,0,0,0,dh&placePath=/review"
190,히브베이크샵 레터링케이크 주문제작케이크,"https://map.naver.com/p/search/건대입구 카페/place/1919905093?c=15.00,0,0,0,dh&placePath=/review"
191,"디저트다운카페,디저트","https://map.naver.com/p/search/건대입구 카페/place/1862967352?c=15.00,0,0,0,dh&placePath=/review"
192,빽다방 광진화양삼거리점테이크아웃커피,"https://map.naver.com/p/search/건대입구 카페/place/1059792935?c=15.00,0,0,0,dh&placePath=/review"
193,"국민우유집 건대점카페,디저트","https://map.naver.com/p/search/건대입구 카페/place/1068285664?c=15.00,0,0,0,dh&placePath=/review"
194,요거트월드 건대점,"https://map.naver.com/p/search/건대입구 카페/place/1829401462?c=15.00,0,0,0,dh&placePath=/review"
195,"보리스카페,디저트","https://map.naver.com/p/search/건대입구 카페/place/1690309548?c=15.00,0,0,0,dh&placePath=/review"
196,투썸플레이스 성수낙낙점카페,"https://map.naver.com/p/search/건대입구 카페/place/1399635238?c=15.00,0,0,0,dh&placePath=/review"
197,배스킨라빈스 건대역점,"https://map.naver.com/p/search/건대입구 카페/place/11489298?c=15.00,0,0,0,dh&placePath=/review"
198,"TAKEN COFFEE 건대후문점카페,디저트","https://map.naver.com/p/search/건대입구 카페/place/37049387?c=15.00,0,0,0,dh&placePath=/review"
199,일팔공일오베이커리,"https://map.naver.com/p/search/건대입구 카페/place/1674627745?c=15.00,0,0,0,dh&placePath=/review"
200,카페 그자체 베이커리베이커리,"https://map.naver.com/p/search/건대입구 카페/place/1285069493?c=15.00,0,0,0,dh&placePath=/review"
201,"테라코타카페,디저트","https://map.naver.com/p/search/건대입구 카페/place/1607483795?c=15.00,0,0,0,dh&placePath=/review"
202,라이크,"https://map.naver.com/p/search/건대입구 카페/place/1286582635?c=15.00,0,0,0,dh&placePath=/review"
203,고망고 건대중문점,"https://map.naver.com/p/search/건대입구 카페/place/1294433582?c=15.00,0,0,0,dh&placePath=/review"
204,뚜레쥬르 어린이대공원역점베이커리,"https://map.naver.com/p/search/건대입구 카페/place/11489294?c=15.00,0,0,0,dh&placePath=/review"
205,킹스커피카페,"https://map.naver.com/p/search/건대입구 카페/place/38522006?c=15.00,0,0,0,dh&placePath=/review"
206,"카페드라이카페,디저트","https://map.naver.com/p/search/건대입구 카페/place/1719620800?c=15.00,0,0,0,dh&placePath=/review"
207,뚜레쥬르 건국대병원점,"https://map.naver.com/p/search/건대입구 카페/place/1926789312?c=15.00,0,0,0,dh&placePath=/review"
